
east:821070.0, north:807840.0, Cheung Chau, 長洲
east:820760.0, north:807760.0, Cheung Chau Wan, 長洲灣
east:820412.0, north:809445.0, Adamasta Rock, 北長洲石
east:820457.0, north:806777.0, CHEUNG CHAU CEMETERY, 長洲墳場
east:820622.0, north:807307.0, CHEUNG CHAU PARK, 長洲公園
east:821280.0, north:807717.0, St. John Hospital, 長洲醫院
east:820951.0, north:807781.0, Cheung Chau Ferry Pier, 長洲碼頭
east:820965.0, north:807069.0, PEAK VILLA CHEUNG CHAU, 長洲花園
east:819710.0, north:808710.0, Adamasta Channel, 北長洲海峽
east:821087.0, north:807908.0, Cheung Chau Baptist Church, 長洲浸信會
east:821287.48349, north:807755.30954, CHEUNG CHAU BEACH ROAD, 長洲東堤路
east:821106.48566, north:807902.63037, CHEUNG CHAU CHURCH ROAD, 長洲教堂路
east:820592.19265, north:807196.1347, CHEUNG CHAU ELECTRIC PATH, 長洲電廠徑
east:821199.30354, north:807704.891930001, CHEUNG CHAU HOSPITAL ROAD, 長洲醫院路
east:820671.0, north:807114.0, Cheung Chau Lutheran Village, 長洲信義村
east:821402.86857, north:807375.21741, CHEUNG CHAU PEAK ROAD, 長洲山頂道
east:821245.0, north:807661.0, Cheung Chau Sports Centre, 長洲體育館
east:821442.0, north:807531.0, CHEUNG CHAU SPORTS GROUND, 長洲運動場
east:821226.56195, north:807781.67564, CHEUNG CHAU SPORTS ROAD, 長洲體育路
east:820517.0, north:807744.0, CHEUNG CHAU TYPHOON SHELTER, 長洲避風塘
east:821141.0, north:809025.0, CHEUNG CHAU NAVIGATIONAL AID STATION, 長洲導航站
east:820282.81936, north:807119.378459999, CHEUNG CHAU SAI TAI ROAD, 長洲西堤道
east:820401.0, north:806731.0, Cheung Chau Crematorium, 長洲火葬場
east:821117.14251722, north:807706.08601982, THE LYCHEE (PHASE 2), 長洲荔枝莊
east:821118.99970763, north:807704.93946096, THE LYCHEE (PHASE 3), 長洲荔枝莊
east:820957.0, north:807059.0, Peak Villa Cheung Chau Block A, 長洲花園A座
east:820959.0, north:807065.0, Peak Villa Cheung Chau Block B, 長洲花園B座
east:820963.0, north:807070.0, Peak Villa Cheung Chau Block C, 長洲花園C座
east:820968.0, north:807075.0, Peak Villa Cheung Chau Block D, 長洲花園D座
east:820974.0, north:807076.0, Peak Villa Cheung Chau Block E, 長洲花園E座
east:820981.0, north:807077.0, Peak Villa Cheung Chau Block F, 長洲花園F座
east:821119.20870054, north:807709.76156072, THE LYCHEE (PHASE 1), 長洲荔枝莊
east:820975.51318, north:807261.8632, CHEUNG CHAU PEAK ROAD WEST, 長洲山頂道西
east:821291.0, north:807899.0, CHEUNG CHAU TUNG WAN BEACH, 長洲東灣泳灘
east:821189.78333639, north:807736.65784519, Cheung Chau Division, 長洲分區警署
east:821364.3, north:807691.8, CHEUNG CHAU WARWICK HOTEL, 長洲華威酒店
east:821101.0, north:807523.0, Peniel Church, 便以利會長洲堂
east:820480.0, north:806582.0, CHEUNG CHAU CATHOLIC CEMETERY, 長洲天主教墳場
east:820794.0, north:808480.0, CHEUNG CHAU CHRISTIAN CEMETERY, 長洲基督教墳場
east:821156.0, north:807876.0, Cheung Chau Rural Committee, 長洲鄉事委員會
east:821024.0, north:808600.0, CHEUNG CHAU FRESH WATER SERVICE RESERVOIR, 長洲食水配水庫
east:820590.25851797, north:808253.95140573, Cheung Chau Service Centre, 長洲服務中心
east:821239.0, north:807740.0, St. John Hospital Out-patient Department Block, 長洲醫院門診大樓
east:820370.0, north:808358.0, Cheung Chau Slaughterhouse, 長洲屠房
east:821187.0, north:807746.0, CHEUNG CHAU POLICE STATION, 長洲警署
east:821042.0, north:807878.3, CHEUNG CHAU KU TSAI CHAO MONG CLUB, 長洲罟仔照網會
east:820517.0, north:807412.0, Cheung Chau Fireboat Station, 長洲滅火輪消防局
east:820779.89574643, north:806967.03336066, Network of Weather Station in Hong Kong: Cheung Chau, 香港氣象站網絡: 長洲
east:820774.0, north:806998.0, Cheung Chau Meteorological Station, 天文台長洲氣象站
east:820859.0, north:808271.0, Chung Shak Hei (Cheung Chau) Home for the Aged, 鍾錫熙長洲安老院
east:819680.1, north:817466.1, Wi-Fi.HK Hotspot Locations: Discovery Bay Recreation Club, Wi-Fi.HK 熱點位置: 愉景灣康樂會
east:819669.8, north:817465.0, Wi-Fi.HK Hotspot Locations: Discovery Bay Recreation Club, Wi-Fi.HK 熱點位置: 愉景灣康樂會
east:838962.0, north:827898.0, STAR SEAFOOD FLOATING RESTAURANT, 明星海鮮舫
east:836087.1, north:818091.8, JOLLY RESTAURANT, 壹食就醉
east:832099.1071713, north:825128.17185501, MacLehose Restaurant, 麥理浩餐廳
east:816018.0, north:827439.0, Rainbow Garden Block A, 彩華花園A座
east:816058.0, north:827462.0, Rainbow Garden Block B, 彩華花園B座
east:816020.0, north:827401.0, Rainbow Garden Block C, 彩華花園C座
east:816068.0, north:827424.0, Rainbow Garden Block D, 彩華花園D座
east:819384.0, north:833686.0, Rainbow Lodge Block 1, 彩虹軒第一座
east:819388.0, north:833689.0, Rainbow Lodge Block 2, 彩虹軒第二座
east:819391.0, north:833693.0, Rainbow Lodge Block 3, 彩虹軒第三座
east:819395.0, north:833697.0, Rainbow Lodge Block 5, 彩虹軒第五座
east:819398.0, north:833701.0, Rainbow Lodge Block 6, 彩虹軒第六座
east:819402.0, north:833705.0, Rainbow Lodge Block 7, 彩虹軒第七座
east:819407.0, north:833707.0, Rainbow Lodge Block 8, 彩虹軒第八座
east:819411.0, north:833710.0, Rainbow Lodge Block 9, 彩虹軒第九座
east:845708.0, north:820933.0, Rainbow Villa Block 1, 彩濤別墅1座
east:845662.0, north:821015.0, Rainbow Villa Block 10, 彩濤別墅10座
east:845741.0, north:820947.0, Rainbow Villa Block 11, 彩濤別墅11座
east:845742.0, north:820973.0, Rainbow Villa Block 13, 彩濤別墅13座
east:845743.0, north:820984.0, Rainbow Villa Block 14, 彩濤別墅14座
east:845737.0, north:820995.0, Rainbow Villa Block 15, 彩濤別墅15座
east:845732.0, north:821004.0, Rainbow Villa Block 16, 彩濤別墅16座
east:845717.0, north:821010.0, Rainbow Villa Block 17, 彩濤別墅17座
east:845709.0, north:821017.0, Rainbow Villa Block 18, 彩濤別墅18座
east:845698.0, north:821024.0, Rainbow Villa Block 19, 彩濤別墅19座
east:845705.0, north:820941.0, Rainbow Villa Block 2, 彩濤別墅2座
east:845696.0, north:821031.0, Rainbow Villa Block 20, 彩濤別墅20座
east:845700.0, north:820953.0, Rainbow Villa Block 3, 彩濤別墅3座
east:845697.0, north:820961.0, Rainbow Villa Block 4, 彩濤別墅4座
east:845691.0, north:820972.0, Rainbow Villa Block 5, 彩濤別墅5座
east:845686.0, north:820980.0, Rainbow Villa Block 6, 彩濤別墅6座
east:845679.0, north:820991.0, Rainbow Villa Block 7, 彩濤別墅7座
east:845676.0, north:821001.0, Rainbow Villa Block 8, 彩濤別墅8座
east:845664.0, north:821005.0, Rainbow Villa Block 9, 彩濤別墅9座
east:845741.0, north:820957.0, Rainbow Villa Block A12, 彩濤別墅A12座
east:837594.0, north:822844.0, Baptist Rainbow Primary School, 浸信會天虹小學
east:840957.44215241, north:819405.84510859, Hong Lin Restaurant, 康年餐廳
east:836680.0, north:815409.1, MAMADAY RESTAURANT & BAR, 嘛嘛地
east:816042.0, north:827427.0, RAINBOW GARDEN, 彩華花園
east:838137.0, north:831961.0, Rainbow Height, 千霞別墅
east:838261.0, north:822720.0, Rainbow Home, 天虹之家
east:819395.0, north:833698.0, RAINBOW LODGE, 彩虹軒
east:821220.0, north:834115.0, Rainbow Mansion, 艷虹樓
east:845706.0, north:821020.0, RAINBOW VILLA, 彩濤別墅
east:820883.0, north:834364.0, The Rainbow, 虹方
east:835843.34361964, north:815439.86864013, Our City Love Restaurants, 友善香港好餐廳
east:835462.3, north:819727.8, UPPER BAR AND RESTAURANT, UPPER BAR AND RESTAURANT
east:835718.0, north:819919.0, GOLDEN RAINBOW GUESTHOUSE, 金彩虹賓館
east:812118.65888211, north:816701.15429456, Rainbow Arts Corner, 活出彩虹工藝坊
east:835611.6, north:818330.7, RAINBOW ASSOCIATION LIMITED, 天虹聯誼會有限公司
east:817998.26694551, north:836625.37580485, Pok Oi Café, 博愛Café
east:837327.0, north:823762.0, Lion Rock, 獅子山
east:836948.0, north:822764.0, LION ROCK PARK, 獅子山公園
east:837434.84375, north:821196.9375, LION ROCK ROAD, 獅子石道
east:830867.45583661, north:839693.60589335, Cheers Café North District Hospital, Cheers Café 北區醫院
east:837410.0, north:820981.0, 1 Lion Rock Road, 獅子石道1號
east:835903.02202, north:824327.47965, LION ROCK TUNNEL ROAD, 獅子山隧道公路
east:835874.0, north:824315.0, Lion Rock Tunnel Office (Transport Department), 運輸署獅子山隧道辦事處
east:836335.09201613, north:821937.52308841, Cheers Café Education Bureau Education Service Centre, Cheers Café 教育局教育服務中心
east:836855.0, north:822914.0, Lion Rock Low Level Primary Service Reservoir, 獅子山下主配水庫
east:836860.0, north:823017.0, Lion Rock High Level No.1 Primary Service Reservoir, 獅子山上一號主配水庫
east:836607.0, north:822946.0, Lion Rock High Level No.2 Primary Service Reservoir, 獅子山上二號主配水庫
east:836883.0, north:822899.0, (Lion Rock Low Level Primary Service Reservoir under), （下層獅子山下主配水庫）
east:836872.0, north:823005.0, LION ROCK HIGH LEVEL FRESH WATER PRIMARY SERVICE RESERVOIR, 獅子山高地食水主配水庫
east:836872.0, north:823005.0, (Lion Rock High Level No.1 Primary Service Reservoir under), （下層獅子山上一號主配水庫）
east:836883.0, north:822899.0, LION ROCK LOW LEVEL FRESH WATER PRIMARY SERVICE RESERVOIR, 獅子山低地食水主配水庫
east:836584.0, north:822936.0, LION ROCK HIGH LEVEL NO.2 FRESH WATER PRIMARY SERVICE RESERVOIR, 獅子山高地2號食水主配水庫
east:834745.73927567, north:816432.56414117, Café 8, Café 8
east:836800.0, north:824505.0, Lion Rock Country Park, 獅子山郊野公園
east:835117.47404214, north:815867.94531113, iBakery Gallery Café, iBakery 愛烘焙餐廳
east:820412.0, north:809445.0, Adamasta Rock, 北長洲石
east:836570.0, north:824485.0, Amah Rock, 望夫石
east:836570.0, north:824488.0, Amah Rock, 望夫石
east:834780.0, north:810040.0, Assistance Rock, 鴨脷咀
east:855510.945, north:836479.3, Balanced Rock, 疊石
east:832214.718, north:806301.329, Balcony Rock, 騎樓石
east:833322.447, north:815657.813, Boar Rock, 野豬石
east:854011.32, north:814506.959, Cannon Rock, 大炮石
east:843397.0, north:828583.0, Canoe Rock, 獨木舟石
east:844751.564, north:802999.726, Coffin Rock, 棺材石
east:843886.229, north:802876.933, Conch Rock, 響螺石
east:850480.867, north:815057.591, Crane Rock, 鶴岩
east:825154.0, north:816921.0, Douglas Rock, 德己利士礁
east:855904.873, north:821965.455, Dragon Rock, 龍岩
east:851928.616, north:835786.92, Drumming Rock, 東風石(響石)
east:810313.0, north:828265.0, Emperor Rock, 皇帝巖
east:840943.484, north:814889.344, General Rock, 將軍石
east:859341.237, north:832962.542, General Rock, 將軍石
east:824492.263, north:822735.279, Gong Rock, 打鑼石
east:838532.0, north:819717.0, Kowloon Rock, 九龍石
east:821840.0, north:807798.0, Loaf Rock, 饅頭石
east:836238.565, north:814670.699, Lover's Rock, 姻緣石
east:836235.0, north:814670.0, Lover's Rock, 姻緣石
east:844712.907, north:802173.817, Monk Rock, 僧人石
east:855750.0, north:820360.0, Pyramid Rock, 尖柱石
east:819923.0, north:806654.0, Reclining Rock, 五行石
east:853933.744, north:813191.063, Rock Chamber, 石室
east:837899.0, north:826465.0, Rock Garden, 石頭公園
east:844672.154, north:802184.792, Tortoise Rock, 烏龜石
east:823886.784, north:823011.357, Unicorn Rock, 麒麟石
east:823882.34375, north:838196.677300001, CATALINA AVENUE, 卡連拿徑
east:834657.0, north:815102.0, Catalina Mansion, 嘉年大廈
east:836087.1, north:818091.8, JOLLY RESTAURANT, 壹食就醉
east:832099.1071713, north:825128.17185501, MacLehose Restaurant, 麥理浩餐廳
east:840957.44215241, north:819405.84510859, Hong Lin Restaurant, 康年餐廳
east:836680.0, north:815409.1, MAMADAY RESTAURANT & BAR, 嘛嘛地
east:835843.34361964, north:815439.86864013, Our City Love Restaurants, 友善香港好餐廳
east:835462.3, north:819727.8, UPPER BAR AND RESTAURANT, UPPER BAR AND RESTAURANT
east:814219.0, north:827028.0, Tuen Mun Recreation and Sports Centre General Restaurant and Pro Shop, 屯門康樂體育中心餐廳及體育用品專門店
east:838962.0, north:827898.0, STAR SEAFOOD FLOATING RESTAURANT, 明星海鮮舫
east:834754.0, north:815418.0, Park Inn Restaurant & Bar (Previous Name), 湖心餐廳 (前稱)
east:838250.0, north:828511.0, Tao Heung Training Restaurant (Other Name), 稻香訓練酒樓 (別稱)
east:842233.0, north:815517.0, Lei Yue Mun Park Restaurant (Other Name), 鯉魚門公園餐廳 (別稱)
east:823856.0, north:838212.0, , 
east:823839.0, north:838212.0, , 
east:823867.0, north:838211.0, , 
east:823849.0, north:838212.0, , 
east:823834.0, north:838211.0, , 
east:823872.0, north:838210.0, , 
east:823882.0, north:838208.0, , 
east:823889.0, north:838207.0, , 
east:823898.0, north:838205.0, , 
east:823903.0, north:838203.0, , 
east:823920.0, north:838202.0, , 
east:823914.0, north:838202.0, , 
east:823863.0, north:838185.0, , 
east:823856.0, north:838185.0, , 
east:823876.0, north:838183.0, , 
east:823882.0, north:838181.0, , 
east:823893.0, north:838179.0, , 
east:823897.0, north:838178.0, , 
east:823912.0, north:838181.0, , 
east:823917.0, north:838180.0, , 
east:839585.0, north:821557.0, Hong Kong Federation of Youth Groups Jockey Club Ping Shek Youth S.P.O.T., 香港青年協會賽馬會坪石青年空間
east:831037.9, north:823340.3, Wi-Fi.HK Hotspot Locations: Carnival Restaurant (Kwai Chung), Wi-Fi.HK 熱點位置: 嘉年華海鮮酒家-賢麗苑商場
east:836127.8, north:812018.3, Wi-Fi.HK Hotspot Locations: Neptune Restaurant, Ocean Park, Wi-Fi.HK 熱點位置: 海洋公園 - 海龍王餐廳
east:836127.8, north:812018.3, Wi-Fi.HK Hotspot Locations: Tuxedos Restaurant, Ocean Park, Wi-Fi.HK 熱點位置: 海洋公園 - 冰極餐廳
east:832540.1, north:816578.4, Wi-Fi.HK Hotspot Locations: Star Seafood Restaurant - Western District, Wi-Fi.HK 熱點位置: 明星海鮮酒家-西環
east:842105.0, north:813842.0, Wellcome Supermarket-Hing Wah, 惠康超級市場-興華
east:836127.8, north:812018.3, Wi-Fi.HK Hotspot Locations: The Bayview Restaurant, Ocean Park, Wi-Fi.HK 熱點位置: 海洋公園 - 灣景餐廳
east:835868.9, north:821992.9, Wi-Fi.HK Hotspot Locations: City Express, City Chinese Restaurant, and City Top, Wi-Fi.HK 熱點位置: 城大食坊,城大中菜廳,城峰閣
east:815535.0, north:827670.0, Wellcome Supermarket-On Ting, 惠康超級市場-安定
east:834675.0, north:834518.0, Street Posting Box No. 446, 編號446郵箱
east:845956.7, north:826995.1, Registered WiFi Access Points: Hong Kong Telecommunications (HKT) Limited (APID 06569), 已登記的WiFi 熱點: Hong Kong Telecommunications (HKT) Limited (APID 06569)
east:814887.0, north:829864.1, Street Posting Box No. 700, 編號700郵箱
east:839576.5, north:821559.6, Recycling Organisations and Collection Points: The Hong Kong Federation of Youth Groups – Jockey Club Ping Shek Youth S.P.O.T, 回收機構及收集點： 香港青年協會 - 賽馬會坪石青年空間
east:820493.9, north:817138.6, Wi-Fi.HK Hotspot Locations: Discovery Bay Club, Wi-Fi.HK 熱點位置: 愉景灣尊貴會所
east:845199.0, north:822013.0, Recycling Organisations and Collection Points: McDonald's, 回收機構及收集點： 麥當勞
east:834453.0, north:815816.9, Registered WiFi Access Points: Hong Kong Telecommunications (HKT) Limited (APID 05160), 已登記的WiFi 熱點: Hong Kong Telecommunications (HKT) Limited (APID 05160)
east:820514.5, north:817147.4, Wi-Fi.HK Hotspot Locations: Discovery Bay Club, Wi-Fi.HK 熱點位置: 愉景灣尊貴會所
east:834754.0, north:815418.0, Cafe & Bar, 
east:834219.5, north:815780.9, CIGARRO BAR, CIGARRO BAR
east:839679.80916791, north:816961.65169631, SE-Bar, 社企吧！
east:835881.2, north:818031.9, JOE'S BILLIARDS & BAR, JOE'S BILLIARDS & BAR
east:836680.0, north:815409.1, MAMADAY RESTAURANT & BAR, 嘛嘛地
east:835580.6, north:819699.6, Moona Lounge & Bar, Moona Lounge & Bar
east:833309.70846497, north:816251.47407219, ohms café & bar, 順·逆 珈琲酒館
east:836920.2, north:815790.3, SMART BAR & CLUB, 醒吧會
east:811308.05688, north:817863.6097, EAST COAST ROAD, 東岸路
east:816995.0, north:825874.0, GOLD COAST HOTEL, 黃金海岸酒店
east:817270.0, north:825869.0, GOLD COAST PIAZZA, 黃金海岸商場
east:817532.0, north:825846.0, Aegean Coast Tower 1, 愛琴海岸第一座
east:817524.0, north:825883.0, Aegean Coast Tower 2, 愛琴海岸第二座
east:817511.0, north:825912.0, Aegean Coast Tower 3, 愛琴海岸第三座
east:817489.0, north:825944.0, Aegean Coast Tower 5, 愛琴海岸第五座
east:817461.0, north:825969.0, Aegean Coast Tower 6, 愛琴海岸第六座
east:817431.0, north:825986.0, Aegean Coast Tower 7, 愛琴海岸第七座
east:817399.0, north:825998.0, Aegean Coast Tower 8, 愛琴海岸第八座
east:814009.0, north:810766.0, Golden Coast House 1, 金灣海岸1號屋
east:814082.0, north:810803.0, Golden Coast House 10, 金灣海岸10號屋
east:814080.0, north:810810.0, Golden Coast House 11, 金灣海岸11號屋
east:814094.0, north:810820.0, Golden Coast House 12, 金灣海岸12號屋
east:814076.0, north:810828.0, Golden Coast House 13, 金灣海岸13號屋
east:814065.0, north:810837.0, Golden Coast House 14, 金灣海岸14號屋
east:814071.0, north:810846.0, Golden Coast House 15, 金灣海岸15號屋
east:814050.0, north:810825.0, Golden Coast House 16, 金灣海岸16號屋
east:814042.0, north:810816.0, Golden Coast House 17, 金灣海岸17號屋
east:814024.0, north:810797.0, Golden Coast House 19, 金灣海岸19號屋
east:814016.0, north:810759.0, Golden Coast House 2, 金灣海岸2號屋
east:814016.0, north:810786.0, Golden Coast House 20, 金灣海岸20號屋
east:814027.0, north:810781.0, Golden Coast House 21, 金灣海岸21號屋
east:814042.0, north:810773.0, Golden Coast House 22, 金灣海岸22號屋
east:814045.0, north:810784.0, Golden Coast House 23, 金灣海岸23號屋
